uuid,sku,variety,title,price,in_stock,link,category,tags,image_url,image_path,split,cleaned_strings,length_cm,length_inches,gender,breeder,tags_list
3fd070,9009447534904,Default Title,Default Title — 24F-177 Asagi,2800.0,True,https://www.champkoi.com/products/24f-177-asagi,Single_Koi,['Asagi'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/24F-177.jpg?v=1709171386,champkoi_data/3fd070_Default_Title_—_24F-177_Asagi.jpg,"['Default', 'Title', '—', '24F-177', 'Asagi']","['24F-177', 'Asagi']",,,,,['Asagi']
27bf81,9608736637240,Default Title,Default Title — 2024FALL-069 Karasu,2800.0,False,https://www.champkoi.com/products/2024fall-069-karasu,Presale_Koi,['Karasu'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-051_600x_600x_d92b406e-2595-4f8e-85f5-cd89453b94da.jpg?v=1729121873,champkoi_data/27bf81_Default_Title_—_2024FALL-069_Karasu.jpg,"['Default', 'Title', '—', '2024FALL-069', 'Karasu']","['2024FALL-069', 'Karasu']",,,,,['Karasu']
e61ebb,9613141868856,Default Title,Default Title — 2024FALL-106 Doitsu Kujaku,2800.0,True,https://www.champkoi.com/products/2024fall-106-doitsu-kujaku,Presale_Koi,['Doitsu Kujaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-106_600x_24c7b1a7-098d-4766-93cd-32ee2018b146.jpg?v=1729405245,champkoi_data/e61ebb_Default_Title_—_2024FALL-106_Doitsu_Kujaku.jpg,"['Default', 'Title', '—', '2024FALL-106', 'Doitsu', 'Kujaku']","['2024FALL-106', 'Doitsu', 'Kujaku']",,,,,['Doitsu Kujaku']
459f4d,9613142294840,"A: 22"" (55cm) Female Sanke [Ogata]","A: 22"" (55cm) Female Sanke [Ogata] — 2024FALL-109",2800.0,True,https://www.champkoi.com/products/2024fall-109,Presale_Koi,['Sanke'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-109_600x_fd7ffcb1-1cd5-4e94-8e1b-9886218b8ceb.jpg?v=1729405301,champkoi_data/459f4d_A_22_(55cm)_Female_Sanke_[Ogata]_—_2024FALL-109.jpg,"['A:', '22""', '(55cm)', 'Female', 'Sanke', '[Ogata]', '—', '2024FALL-109']","['22""', '(55cm)', 'Female', 'Sanke', '[Ogata]', '2024FALL-109']",55cm,"22""",Female,Ogata,['Sanke']
37f5ff,9876529905976,Default Title,Default Title — 25D-004 Tancho Kohaku,2800.0,True,https://www.champkoi.com/products/25d-004-tancho-kohaku,Single_Koi,['Tancho Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-004_600x_9758b26a-4bdf-46f8-94c6-52c8e1cf34c9.jpg?v=1745002182,champkoi_data/37f5ff_Default_Title_—_25D-004_Tancho_Kohaku.jpg,"['Default', 'Title', '—', '25D-004', 'Tancho', 'Kohaku']","['25D-004', 'Tancho', 'Kohaku']",,,,,['Tancho Kohaku']
336a64,9876546879800,Default Title,Default Title — 25D-017 Kohaku,2800.0,False,https://www.champkoi.com/products/25d-017-kohaku,Single_Koi,['Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-017_600x_7e51f4a8-cdc5-4fda-acb2-e3312fdfe6a9.jpg?v=1745004118,champkoi_data/336a64_Default_Title_—_25D-017_Kohaku.jpg,"['Default', 'Title', '—', '25D-017', 'Kohaku']","['25D-017', 'Kohaku']",,,,,['Kohaku']
b42190,9009450123576,Default Title,Default Title — 24F-181 Showa,3200.0,True,https://www.champkoi.com/products/24f-181-showa,Single_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/24F-181.jpg?v=1709171589,champkoi_data/b42190_Default_Title_—_24F-181_Showa.jpg,"['Default', 'Title', '—', '24F-181', 'Showa']","['24F-181', 'Showa']",,,,,['Showa']
5192d9,9602475622712,Default Title,Default Title — 2024FALL-005 Platinum Ogon,3200.0,True,https://www.champkoi.com/products/2024fall-005,Presale_Koi,['Platinum Ogon'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-005_600x_cd4ef477-fc60-4a0c-93a0-d5d2b1b9caaa.jpg?v=1728510470,champkoi_data/5192d9_Default_Title_—_2024FALL-005_Platinum_Ogon.jpg,"['Default', 'Title', '—', '2024FALL-005', 'Platinum', 'Ogon']","['2024FALL-005', 'Platinum', 'Ogon']",,,,,['Platinum Ogon']
7dccea,9602476015928,Default Title,Default Title — 2024FALL-006 Platinum Ogon,3200.0,True,https://www.champkoi.com/products/2024fall-006,Presale_Koi,['Platinum Ogon'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-006_600x_048d5c94-6f40-45a8-a4ea-e9b3a12805cd.jpg?v=1728510504,champkoi_data/7dccea_Default_Title_—_2024FALL-006_Platinum_Ogon.jpg,"['Default', 'Title', '—', '2024FALL-006', 'Platinum', 'Ogon']","['2024FALL-006', 'Platinum', 'Ogon']",,,,,['Platinum Ogon']
b6a844,9616866476344,Default Title,Default Title — 2024FALL-141 Showa,3600.0,True,https://www.champkoi.com/products/2024fall-141-showa,Presale_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-141_600x_1cc5b06e-6838-450f-9b2b-73c6dc1725d2.jpg?v=1729858536,champkoi_data/b6a844_Default_Title_—_2024FALL-141_Showa.jpg,"['Default', 'Title', '—', '2024FALL-141', 'Showa']","['2024FALL-141', 'Showa']",,,,,['Showa']
