uuid,link,title,price,sku,details,image,image_url,breeder,length_inches,tags
fa2cb7,https://www.grandkoi.com/product/maruten-showa-7001/,Maruten Showa,"$15,999.00",7001,"['Breeder: Isa', 'Inches: 32']",grandkoi_data/fa2cb7_Maruten Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/7-Maruten-showa-32-300x450.jpeg,Isa,32.0,"['Maruten', 'Showa']"
d48379,https://www.grandkoi.com/product/maruten-sanke-6998/,Maruten Sanke,"$15,999.00",6998,"['Breeder: Isa', 'Inches: 30']",grandkoi_data/d48379_Maruten Sanke.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/6-Maruten-showa-30-300x450.jpeg,Isa,30.0,"['Maruten', 'Sanke']"
8ac086,https://www.grandkoi.com/product/showa-6994/,Showa,"$14,999.00",6994,"['Breeder: Isa', 'Inches: 32']",grandkoi_data/8ac086_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/2-showa-32-300x450.jpeg,Isa,32.0,['Showa']
6fd0f2,https://www.grandkoi.com/product/maruten-showa-6993/,Maruten Showa,"$14,999.00",6993,"['Breeder: Isa', 'Inches: 28']",grandkoi_data/6fd0f2_Maruten Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/1Showa-28-inches-300x450.jpeg,Isa,28.0,"['Maruten', 'Showa']"
775a37,https://www.grandkoi.com/product/showa-6991/,Showa,"$24,999.00",6991,"['Breeder: Isa', 'Inches: 31.5']",grandkoi_data/775a37_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/Showa-ISA-300x450.jpeg,Isa,31.0,['Showa']
b3941d,https://www.grandkoi.com/product/sanke-6982/,Sanke,"$15,999.00",6982,"['Breeder: Miyatora', 'Inches: 30']",grandkoi_data/b3941d_Sanke.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/02/1-T3-Sanke-30-inches-300x450.jpeg,Miyatora,30.0,['Sanke']
b0e914,https://www.grandkoi.com/product/sanke-6988/,Sanke,"$19,999.00",6988,"['Breeder: Momotaro', 'Inches: 30']",grandkoi_data/b0e914_Sanke.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/02/2-T3-Sanke-29-inches-300x450.jpeg,Momotaro,30.0,['Sanke']
5ce53f,https://www.grandkoi.com/product/sanke-6987/,Sanke,"$11,999.00",6987,"['Breeder: Momotaro', 'Inches: 29.5']",grandkoi_data/5ce53f_Sanke.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/02/3-T3-sanke-29-inches-300x450.jpeg,Momotaro,29.0,['Sanke']
bdca28,https://www.grandkoi.com/product/showa-6985/,Showa,"$14,999.00",6985,"['Breeder: Momotaro', 'Inches: 34']",grandkoi_data/bdca28_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/02/6-T3-showa-34-inches-300x450.jpeg,Momotaro,34.0,['Showa']
1f82d8,https://www.grandkoi.com/product/hi-matsuba-6983/,HI Matsuba,"$6,999.00",6983,"['Breeder: Marusei', 'Inches: 31']",grandkoi_data/1f82d8_HI Matsuba.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/02/9-T3-Hi-Matsuba-31-inches-300x450.jpeg,Marusei,31.0,"['HI', 'Matsuba']"
