,link,title,category,price,sku,image,image_url
254a19df,https://nextdaykoi.com/product/13-imported-chagoi-butterfly-koi-3/,13” Imported Chagoi Butterfly Koi,"['Butterfly Koi', 'Chagoi', 'Imported Koi', 'Kawarimono', 'Koi', 'Single Fish', 'Single Koi']",$850.00$765.00,H0430D711004,nextdaykoi_data/254a19df_13”_Imported_Chagoi_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_71_10-18.jpg
625448a2,https://nextdaykoi.com/product/12-imported-kikusui-butterfly-koi-3/,12” Imported Kikusui Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', ""Crystal's Featured Fish"", 'Hikarimoyo', 'Imported Koi', 'Kikusui', 'Koi', 'Single Fish', 'Single Koi']",$850.00$765.00,H0430D711001,nextdaykoi_data/625448a2_12”_Imported_Kikusui_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_71_10-3.jpg
9ea4d436,https://nextdaykoi.com/product/8-imported-hariwake-butterfly-koi-8/,8” Imported Hariwake Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Hariwake', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi']",$340.00$306.00,H0430D091015,nextdaykoi_data/9ea4d436_8”_Imported_Hariwake_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_09_10-75.jpg
2673d9aa,https://nextdaykoi.com/product/8-imported-doitsu-platinum-ogon-butterfly-koi-10/,8” Imported Doitsu Platinum Ogon Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Hikarimuji', 'Imported Koi', 'Koi', 'Platinum Ogon', 'Single Fish', 'Single Koi']",$340.00$306.00,H0430D091014,nextdaykoi_data/2673d9aa_8”_Imported_Doitsu_Platinum_Ogon_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_09_10-70.jpg
5efc16ff,https://nextdaykoi.com/product/8-imported-armor-scaled-shusui-butterfly-koi/,8” Imported Armor Scaled Shusui Butterfly Koi,"['Asagi and Shusui', 'Butterfly Koi', ""Crystal's Featured Fish"", 'Imported Koi', 'Koi', 'Shusui', 'Single Fish', 'Single Koi']",$340.00$306.00,H0430D091012,nextdaykoi_data/5efc16ff_8”_Imported_Armor_Scaled_Shusui_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_09_10-60.jpg
e492795d,https://nextdaykoi.com/product/8-imported-kin-kikokuryu-butterfly-koi-24/,8” Imported Kin Kikokuryu Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', ""Crystal's Featured Fish"", 'Hikarimoyo', 'Imported Koi', 'Kin Kikokuryu', 'Koi', 'Single Fish', 'Single Koi']",$340.00$306.00,H0430D091011,nextdaykoi_data/e492795d_8”_Imported_Kin_Kikokuryu_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_09_10-55.jpg
936fdc53,https://nextdaykoi.com/product/8-imported-doitsu-yamabuki-ogon-butterfly-koi/,8” Imported Doitsu Yamabuki Ogon Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Hikarimuji', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi', 'Yamabuki']",$340.00$306.00,H0430D091010,nextdaykoi_data/936fdc53_8”_Imported_Doitsu_Yamabuki_Ogon_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_09_10-50.jpg
54ec38c7,https://nextdaykoi.com/product/7-5-imported-yamato-nishiki-butterfly-koi-10/,7.5” Imported Yamato Nishiki Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi', 'Yamato Nishiki']",$340.00$306.00,H0430D091009,nextdaykoi_data/54ec38c7_7.5”_Imported_Yamato_Nishiki_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_09_10-44.jpg
c0d4f9a1,https://nextdaykoi.com/product/7-5-imported-heisei-nishiki-butterfly-koi-4/,7.5” Imported Heisei Nishiki Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', ""Crystal's Featured Fish"", 'Heisei Nishik', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi']",$340.00$306.00,H0430D091007,nextdaykoi_data/c0d4f9a1_7.5”_Imported_Heisei_Nishiki_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_09_10-34.jpg
1925aafe,https://nextdaykoi.com/product/7-5-imported-sanke-butterfly-koi/,7.5” Imported Maruten Sanke Butterfly Koi,"['Butterfly Koi', ""Crystal's Featured Fish"", 'Gosanke', 'Imported Koi', 'Koi', 'Other Tancho', 'Sanke', 'Single Fish', 'Single Koi']",$340.00$306.00,H0430D091005,nextdaykoi_data/1925aafe_7.5”_Imported_Maruten_Sanke_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_09_10-24.jpg
