,link,title,category,out_of_stock,price,sku,image,image_url
bf3005,https://sacramentokoi.com/albino-kigoi-10-240054224/,Albino Kigoi 10″ – 240054224,Kigoi,True,$150.00,240054224,sacramentokoi_data/bf3005_Albino_Kigoi_10″_–_240054224.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054224-1-247x437.jpg
bf1749,https://sacramentokoi.com/albino-kigoi-12-240054185/,Albino Kigoi 12″ – 240054185,Kigoi,True,$125.00,240054185,sacramentokoi_data/bf1749_Albino_Kigoi_12″_–_240054185.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054185-1-247x437.jpg
c1b90b,https://sacramentokoi.com/aragoke-karashigoi-19-230257013/,Aragoke Albino Karashigoi 20″ – 230257013,Aragoke,False,$750.00,230257013,sacramentokoi_data/c1b90b_Aragoke_Albino_Karashigoi_20″_–_230257013.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/230257013-247x439.jpg
4c420f,https://sacramentokoi.com/aragoke-karashigoi-20-230291337/,Aragoke Karashigoi 21″ – 230291337,Aragoke,False,$950.00,230291337,sacramentokoi_data/4c420f_Aragoke_Karashigoi_21″_–_230291337.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/230291337-247x438.jpg
7a11a7,https://sacramentokoi.com/aragoke-kujaku-15-240174092/,Aragoke Kujaku 15″ – 240174092,Aragoke,True,$425.00,240174092,sacramentokoi_data/7a11a7_Aragoke_Kujaku_15″_–_240174092.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240174092-2.jpg
4ae1e9,https://sacramentokoi.com/aragoke-kujaku-16-240174095/,Aragoke Kujaku 16″ – 240174095,Aragoke,True,$475.00,240174095,sacramentokoi_data/4ae1e9_Aragoke_Kujaku_16″_–_240174095.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240174095-2.jpg
2a04d6,https://sacramentokoi.com/aragoke-metallic-ki-matsuba-18-240290283/,Aragoke Metallic Ki Matsuba 18″ – 240290283,Aragoke Metallic,True,$950.00,240290283,sacramentokoi_data/2a04d6_Aragoke_Metallic_Ki_Matsuba_18″_–_240290283.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240290283-2.jpg
91762d,https://sacramentokoi.com/aragoke-mukashi-ogon-19-240290287/,Aragoke Mukashi Ogon 19″ – 240290287,Aragoke,True,$950.00,240290287,sacramentokoi_data/91762d_Aragoke_Mukashi_Ogon_19″_–_240290287.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240290287-2.jpg
c94811,https://sacramentokoi.com/aragoke-mukashi-ogon-23-240302025/,Aragoke Mukashi Ogon 23″ – 240302025,Aragoke,True,"$1,800.00",240302025,sacramentokoi_data/c94811_Aragoke_Mukashi_Ogon_23″_–_240302025.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240302025-2.jpg
64bc36,https://sacramentokoi.com/aragoke-mukashi-ogon-23-240368016/,Aragoke Mukashi Ogon 23″ – 240368016,Aragoke,True,"$1,200.00",240368016,sacramentokoi_data/64bc36_Aragoke_Mukashi_Ogon_23″_–_240368016.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240368016-2.jpg
